sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
H2P-00x,H2P,H,2,P,0,x,-28.6107993478747,1303.8656362352986,-0.408267834454521,26.646343091334373,2.4695,52.798770448888384,1.07901774008238
H2P-05x,H2P,H,2,P,5,x,-26.2126325309384,1450.436326613943,1.2174702281744862,25.120177591606517,2.7878,52.02799076741312,0.9010753135664868
H2P-10x,H2P,H,2,P,10,x,-29.548357570482743,1356.6992571857404,-2.415233883675282,29.087005780235106,2.6601,51.00181411171536,1.0934553505595697
H2P-00y,H2P,H,2,P,0,y,-29.08493961125967,1273.1880498769774,-1.3740196676949075,25.303347966690712,2.4631,51.69047338220038,1.0272968197267962
K1A-50b,K1A,K,1,A,50,b,-27.73803462016391,1458.9578783801435,-3.895015487584467,25.85280915811572,2.7874,52.341173795657006,0.9274883101856828
K1P-00y,K1P,K,1,P,0,y,-28.927347501912955,1465.7751197931034,-4.29230410077826,21.577247878108786,2.8565,51.31367476958177,0.7553736348016379
H3P-10b,H3P,H,3,P,10,b,-27.131494715341613,1278.3009809366977,-4.037077297003182,18.03120747209326,2.589,49.37431367078786,0.6964545180414548
H3P-00a,H3P,H,3,P,0,a,-27.743273448818346,1486.2268440319845,-2.3983095517905704,32.562393777356995,2.9259,50.795544756553014,1.1129018003813185
K1P-02x,K1P,K,1,P,2,x,-28.060880192657216,1377.150981424621,-4.5222023553224915,23.837751941488484,2.6846,51.29818153261644,0.8879442725727663
K2A-10x,K2A,K,2,A,10,x,-26.259628026314854,1329.430291533899,-1.7926638557333407,24.265272468519512,2.5641,51.847833217655285,0.9463465726188337
K1A-05c,K1A,K,1,A,5,c,-29.00370253718042,1348.17770541954,-3.817075599087837,23.043665037364462,2.6096,51.662235799338596,0.8830343745158056
K2P-50y,K2P,K,2,P,50,y,-26.63987800829444,1310.6828776482585,-3.7412435927998953,34.451255782540805,2.5584,51.2305690137687,1.346593800130582
K2P-10x,K2P,K,2,P,10,x,-28.68690832919673,1358.40356753898,-3.2429606325571405,27.92787548075913,2.6559,51.14663833498928,1.051540927021316
K2P-05x,K2P,K,2,P,5,x,-27.853132280935423,1356.6992571857404,-2.397804870076694,19.98802823358322,2.6332,51.522833707494314,0.7590774811477753
K2P-02x,K2P,K,2,P,2,x,-30.03711153643714,1377.150981424621,-3.266577810469035,23.776673881682008,2.7483,50.10919409906564,0.8651411374916134
K2P-02y,K2P,K,2,P,2,y,-28.53683609104183,1544.1733960421461,-4.775403855022165,24.631682571226197,3.0009,51.45700943190863,0.8208098427547135
K2P-02z,K2P,K,2,P,2,z,-29.04075282613977,1375.446671071381,-1.6664777291626227,20.904962008601636,2.7238,50.49734455802118,0.7674925474925337
K2A-05x,K2A,K,2,A,5,x,-26.194273836443333,1363.5164985987003,-4.145046296320904,28.293952691281987,2.674,50.9916416828235,1.0581134140344797
K1A-05b,K1A,K,1,A,5,b,-28.08269250932564,1331.1346018871395,-2.23767068492856,26.09699008986911,2.5862,51.47067519476992,1.0090863077050929
K1A-05a,K1A,K,1,A,5,a,-29.312205828026066,1341.3604640065796,-2.383235194802031,26.707377690216852,2.6208,51.18133638608744,1.0190543990467358
H1P-05b,H1P,H,1,P,5,b,-28.178225414667246,1515.200120037065,-1.9991929396766142,36.33922915053389,3.0346,49.93080208386822,1.1974965119137246
K1P-05x,K1P,K,1,P,5,x,-26.048969945452825,1486.2268440319845,-3.4542054254004793,29.51396963755874,2.9033,51.19094974794147,1.0165663085991368
K1P-25x,K1P,K,1,P,25,x,-28.26524079032079,1343.0647743598197,-0.9314557669975185,25.608613431154154,2.6198,51.265927718139544,0.9775026120755079
K2A-05y,K2A,K,2,A,5,y,-26.140689784820047,1332.8389122403792,-1.2544054069649915,20.415956553539445,2.6279,50.71878352450166,0.7768924446721506
K1P-10x,K1P,K,1,P,10,x,-26.967327140973925,1476.000981912544,-5.348873245210748,28.782003855417198,2.9116,50.69381034182388,0.9885287764602693
K1P-02y,K1P,K,1,P,2,y,-27.46364599036437,1532.243223569466,-5.151020502259423,24.631682571226197,2.9838,51.352075325741204,0.8255138605545344
K1P-05y,K1P,K,1,P,5,y,-26.51933241207255,1322.613050120939,-3.3418231170828845,29.63595098877518,2.5591,51.682741984328054,1.158061466483341
K1A-02b,K1A,K,1,A,2,b,-29.29041414062338,1169.2251183293342,-5.87682356249291,19.80461651166575,2.657,44.00546173614355,0.7453751039392453
K1A-02c,K1A,K,1,A,2,c,-28.767565670087635,1326.0216708274193,-3.96493562537779,24.08205493370928,2.6171,50.667596607979036,0.9201809229188522
K1P-25y,K1P,K,1,P,25,y,-28.334930138424614,1458.9578783801435,-3.38008925204248,33.171801195163454,2.8445,51.29048614449441,1.1661733589440484
H1P-50c,H1P,H,1,P,50,c,-26.602182218858772,1424.8716713153426,-3.005880031873656,53.47288675496395,2.9012,49.11318321092455,1.8431299722516186
H1P-50b,H1P,H,1,P,50,b,-27.752443682663714,1314.0914983547386,-4.116723775220172,41.87621150855968,2.6168,50.21749840854245,1.6002832279333414
H1P-10a,H1P,H,1,P,10,a,-26.53752198622319,1337.9518433000994,-2.464689214582928,34.93855978866342,2.6966,49.61625169843876,1.2956522950627984
H1P-05c,H1P,H,1,P,5,c,-27.050404972467547,1315.7958087079787,0.5257817961633571,32.68428265852237,2.6669,49.33802574929614,1.2255533637752587
H3P-10a,H3P,H,3,P,10,a,-27.31915747681126,1227.171670339496,-1.4167944417870089,32.80616784088571,2.5009,49.069201900895514,1.3117744748244917
K2A-02x,K2A,K,2,A,2,x,-26.323721318727483,1493.0440854449448,-4.933197302281187,20.477085471874005,2.9781,50.134115222623315,0.6875889148072264
K2A-02y,K2A,K,2,A,2,y,-27.2221954501707,1378.8552917778607,-5.136453171614504,20.660466678674627,2.6932,51.197656756938244,0.7671345120553478
K2A-02z,K2A,K,2,A,2,z,-27.313972914301118,1261.2578774042968,-5.85410006892211,24.020980572704847,2.4512,51.454711055984696,0.9799682022154393
